row_index	mode	before_n	after_n	dropped_n	dropped_hash	injected_n	injected_hash
386	clean	6	6	0		0	
387	clean	12	12	0		0	
388	clean	6	6	0		0	
389	clean	6	6	0		0	
390	clean	18	18	0		0	
391	clean	5	5	0		0	
392	clean	16	16	0		0	
393	clean	17	17	0		0	
394	clean	16	16	0		0	
395	clean	19	19	0		0	
396	clean	20	20	0		0	
397	clean	5	5	0		0	
398	clean	5	5	0		0	
399	clean	10	10	0		0	
400	clean	6	6	0		0	
401	clean	8	8	0		0	
402	clean	11	11	0		0	
403	clean	6	6	0		0	
404	clean	10	10	0		0	
405	clean	12	12	0		0	
406	clean	6	6	0		0	
407	clean	9	9	0		0	
408	clean	10	10	0		0	
409	clean	16	16	0		0	
410	clean	12	12	0		0	
411	clean	22	22	0		0	
412	clean	31	31	0		0	
413	clean	85	85	0		0	
414	clean	9	9	0		0	
415	clean	6	6	0		0	
416	clean	7	7	0		0	
417	clean	26	26	0		0	
418	clean	14	14	0		0	
419	clean	17	17	0		0	
420	clean	30	30	0		0	
421	clean	18	18	0		0	
422	clean	14	14	0		0	
423	clean	12	12	0		0	
424	clean	7	7	0		0	
425	clean	17	17	0		0	
426	clean	17	17	0		0	
427	clean	31	31	0		0	
428	clean	25	25	0		0	
429	clean	8	8	0		0	
430	clean	24	24	0		0	
431	clean	9	9	0		0	
432	clean	4	4	0		0	
433	clean	6	6	0		0	
434	clean	8	8	0		0	
435	clean	7	7	0		0	
436	clean	10	10	0		0	
437	clean	8	8	0		0	
438	clean	6	6	0		0	
439	clean	9	9	0		0	
440	clean	8	8	0		0	
441	clean	8	8	0		0	
442	clean	12	12	0		0	
443	clean	19	19	0		0	
444	clean	20	20	0		0	
445	clean	25	25	0		0	
446	clean	15	15	0		0	
447	clean	27	27	0		0	
448	clean	8	8	0		0	
449	clean	6	6	0		0	
450	clean	8	8	0		0	
451	clean	7	7	0		0	
452	clean	5	5	0		0	
453	clean	7	7	0		0	
454	clean	10	10	0		0	
455	clean	6	6	0		0	
456	clean	10	10	0		0	
457	clean	8	8	0		0	
458	clean	26	26	0		0	
459	clean	18	18	0		0	
460	clean	20	20	0		0	
461	clean	14	14	0		0	
462	clean	6	6	0		0	
463	clean	19	19	0		0	
464	clean	14	14	0		0	
465	clean	11	11	0		0	
466	clean	22	22	0		0	
467	clean	39	39	0		0	
468	clean	7	7	0		0	
469	clean	45	45	0		0	
470	clean	21	21	0		0	
471	clean	7	7	0		0	
472	clean	7	7	0		0	
473	clean	9	9	0		0	
474	clean	10	10	0		0	
475	clean	15	15	0		0	
476	clean	31	31	0		0	
477	clean	15	15	0		0	
478	clean	5	5	0		0	
479	clean	5	5	0		0	
480	clean	11	11	0		0	
481	clean	9	9	0		0	
482	clean	7	7	0		0	
483	clean	8	8	0		0	
484	clean	9	9	0		0	
485	clean	6	6	0		0	
486	clean	11	11	0		0	
487	clean	4	4	0		0	
488	clean	7	7	0		0	
489	clean	15	15	0		0	
490	clean	5	5	0		0	
491	clean	3	3	0		0	
492	clean	21	21	0		0	
493	clean	9	9	0		0	
494	clean	69	69	0		0	
495	clean	2	2	0		0	
496	clean	2	2	0		0	
497	clean	10	10	0		0	
498	clean	11	11	0		0	
499	clean	6	6	0		0	
500	clean	21	21	0		0	
501	clean	9	9	0		0	
502	clean	4	4	0		0	
503	clean	5	5	0		0	
504	clean	19	19	0		0	
505	clean	6	6	0		0	
506	clean	11	11	0		0	
507	clean	35	35	0		0	
508	clean	7	7	0		0	
509	clean	25	25	0		0	
510	clean	10	10	0		0	
511	clean	10	10	0		0	
512	clean	12	12	0		0	
513	clean	12	12	0		0	
514	clean	12	12	0		0	
515	clean	4	4	0		0	
516	clean	7	7	0		0	
517	clean	6	6	0		0	
518	clean	6	6	0		0	
519	clean	8	8	0		0	
520	clean	5	5	0		0	
521	clean	15	15	0		0	
522	clean	7	7	0		0	
523	clean	9	9	0		0	
524	clean	12	12	0		0	
525	clean	4	4	0		0	
526	clean	59	59	0		0	
527	clean	43	43	0		0	
528	clean	5	5	0		0	
529	clean	6	6	0		0	
530	clean	8	8	0		0	
531	clean	5	5	0		0	
532	clean	8	8	0		0	
533	clean	8	8	0		0	
534	clean	6	6	0		0	
535	clean	17	17	0		0	
536	clean	2	2	0		0	
537	clean	9	9	0		0	
538	clean	8	8	0		0	
539	clean	3	3	0		0	
540	clean	11	11	0		0	
541	clean	56	56	0		0	
542	clean	43	43	0		0	
543	clean	3	3	0		0	
544	clean	7	7	0		0	
545	clean	13	13	0		0	
546	clean	4	4	0		0	
547	clean	7	7	0		0	
548	clean	4	4	0		0	
549	clean	10	10	0		0	
550	clean	8	8	0		0	
551	clean	4	4	0		0	
552	clean	6	6	0		0	
553	clean	17	17	0		0	
554	clean	8	8	0		0	
555	clean	7	7	0		0	
556	clean	10	10	0		0	
557	clean	13	13	0		0	
558	clean	7	7	0		0	
559	clean	11	11	0		0	
560	clean	15	15	0		0	
561	clean	12	12	0		0	
562	clean	16	16	0		0	
563	clean	4	4	0		0	
564	clean	6	6	0		0	
565	clean	22	22	0		0	
566	clean	64	64	0		0	
567	clean	11	11	0		0	
568	clean	8	8	0		0	
569	clean	13	13	0		0	
570	clean	11	11	0		0	
571	clean	18	18	0		0	
572	clean	4	4	0		0	
573	clean	12	12	0		0	
574	clean	9	9	0		0	
575	clean	6	6	0		0	
576	clean	8	8	0		0	
577	clean	7	7	0		0	
578	clean	9	9	0		0	
579	clean	24	24	0		0	
580	clean	6	6	0		0	
581	clean	13	13	0		0	
582	clean	6	6	0		0	
583	clean	9	9	0		0	
584	clean	6	6	0		0	
585	clean	17	17	0		0	
586	clean	10	10	0		0	
587	clean	18	18	0		0	
588	clean	23	23	0		0	
589	clean	13	13	0		0	
590	clean	44	44	0		0	
591	clean	6	6	0		0	
592	clean	25	25	0		0	
593	clean	28	28	0		0	
594	clean	27	27	0		0	
595	clean	16	16	0		0	
596	clean	4	4	0		0	
597	clean	14	14	0		0	
598	clean	5	5	0		0	
599	clean	8	8	0		0	
600	clean	9	9	0		0	
601	clean	6	6	0		0	
602	clean	14	14	0		0	
603	clean	7	7	0		0	
604	clean	10	10	0		0	
605	clean	7	7	0		0	
606	clean	8	8	0		0	
607	clean	14	14	0		0	
608	clean	7	7	0		0	
609	clean	9	9	0		0	
610	clean	18	18	0		0	
611	clean	6	6	0		0	
612	clean	7	7	0		0	
613	clean	5	5	0		0	
614	clean	5	5	0		0	
615	clean	5	5	0		0	
616	clean	8	8	0		0	
617	clean	6	6	0		0	
618	clean	21	21	0		0	
619	clean	5	5	0		0	
620	clean	7	7	0		0	
621	clean	30	30	0		0	
622	clean	90	90	0		0	
623	clean	32	32	0		0	
624	clean	21	21	0		0	
625	clean	4	4	0		0	
626	clean	28	28	0		0	
627	clean	8	8	0		0	
628	clean	15	15	0		0	
629	clean	7	7	0		0	
630	clean	17	17	0		0	
631	clean	5	5	0		0	
632	clean	5	5	0		0	
633	clean	6	6	0		0	
634	clean	4	4	0		0	
635	clean	7	7	0		0	
636	clean	5	5	0		0	
637	clean	13	13	0		0	
638	clean	9	9	0		0	
639	clean	9	9	0		0	
640	clean	8	8	0		0	
641	clean	5	5	0		0	
642	clean	5	5	0		0	
643	clean	4	4	0		0	
644	clean	6	6	0		0	
645	clean	5	5	0		0	
646	clean	7	7	0		0	
647	clean	8	8	0		0	
648	clean	7	7	0		0	
649	clean	9	9	0		0	
650	clean	6	6	0		0	
651	clean	7	7	0		0	
652	clean	3	3	0		0	
653	clean	6	6	0		0	
654	clean	6	6	0		0	
655	clean	9	9	0		0	
656	clean	2	2	0		0	
657	clean	10	10	0		0	
