row_index	mode	before_n	after_n	dropped_n	dropped_hash	injected_n	injected_hash
1792	clean	7	7	0		0	
1793	clean	2	2	0		0	
1794	clean	4	4	0		0	
1795	clean	8	8	0		0	
1796	clean	8	8	0		0	
1797	clean	35	35	0		0	
1798	clean	7	7	0		0	
1799	clean	13	13	0		0	
1800	clean	9	9	0		0	
1801	clean	2	2	0		0	
1802	clean	6	6	0		0	
1803	clean	5	5	0		0	
1804	clean	4	4	0		0	
1805	clean	6	6	0		0	
1806	clean	7	7	0		0	
1807	clean	55	55	0		0	
1808	clean	29	29	0		0	
1809	clean	16	16	0		0	
1810	clean	12	12	0		0	
1811	clean	58	58	0		0	
1812	clean	9	9	0		0	
1813	clean	11	11	0		0	
1814	clean	16	16	0		0	
1815	clean	4	4	0		0	
1816	clean	12	12	0		0	
1817	clean	9	9	0		0	
1818	clean	7	7	0		0	
1819	clean	28	28	0		0	
1820	clean	11	11	0		0	
1821	clean	10	10	0		0	
1822	clean	2	2	0		0	
1823	clean	5	5	0		0	
1824	clean	4	4	0		0	
1825	clean	7	7	0		0	
1826	clean	37	37	0		0	
1827	clean	38	38	0		0	
1828	clean	5	5	0		0	
1829	clean	19	19	0		0	
1830	clean	17	17	0		0	
1831	clean	13	13	0		0	
1832	clean	12	12	0		0	
1833	clean	68	68	0		0	
1834	clean	7	7	0		0	
1835	clean	2	2	0		0	
1836	clean	18	18	0		0	
1837	clean	20	20	0		0	
1838	clean	28	28	0		0	
1839	clean	5	5	0		0	
1840	clean	11	11	0		0	
1841	clean	11	11	0		0	
1842	clean	19	19	0		0	
1843	clean	15	15	0		0	
1844	clean	14	14	0		0	
1845	clean	9	9	0		0	
1846	clean	5	5	0		0	
1847	clean	5	5	0		0	
1848	clean	14	14	0		0	
1849	clean	9	9	0		0	
1850	clean	4	4	0		0	
1851	clean	6	6	0		0	
1852	clean	7	7	0		0	
1853	clean	2	2	0		0	
1854	clean	4	4	0		0	
1855	clean	6	6	0		0	
1856	clean	85	85	0		0	
1857	clean	12	12	0		0	
1858	clean	20	20	0		0	
1859	clean	15	15	0		0	
1860	clean	13	13	0		0	
1861	clean	7	7	0		0	
1862	clean	20	20	0		0	
1863	clean	13	13	0		0	
1864	clean	17	17	0		0	
1865	clean	4	4	0		0	
1866	clean	9	9	0		0	
1867	clean	38	38	0		0	
1868	clean	21	21	0		0	
1869	clean	16	16	0		0	
1870	clean	30	30	0		0	
1871	clean	4	4	0		0	
1872	clean	6	6	0		0	
1873	clean	6	6	0		0	
1874	clean	3	3	0		0	
1875	clean	4	4	0		0	
1876	clean	4	4	0		0	
1877	clean	63	63	0		0	
1878	clean	15	15	0		0	
1879	clean	20	20	0		0	
1880	clean	9	9	0		0	
1881	clean	20	20	0		0	
1882	clean	23	23	0		0	
1883	clean	7	7	0		0	
1884	clean	4	4	0		0	
1885	clean	5	5	0		0	
1886	clean	4	4	0		0	
1887	clean	5	5	0		0	
1888	clean	10	10	0		0	
1889	clean	11	11	0		0	
1890	clean	13	13	0		0	
1891	clean	43	43	0		0	
1892	clean	8	8	0		0	
1893	clean	12	12	0		0	
1894	clean	10	10	0		0	
1895	clean	17	17	0		0	
1896	clean	8	8	0		0	
1897	clean	6	6	0		0	
1898	clean	3	3	0		0	
1899	clean	4	4	0		0	
1900	clean	97	97	0		0	
1901	clean	35	35	0		0	
1902	clean	1	1	0		0	
1903	clean	56	56	0		0	
1904	clean	82	82	0		0	
1905	clean	29	29	0		0	
1906	clean	23	23	0		0	
1907	clean	13	13	0		0	
1908	clean	24	24	0		0	
1909	clean	45	45	0		0	
1910	clean	18	18	0		0	
1911	clean	49	49	0		0	
1912	clean	37	37	0		0	
1913	clean	69	69	0		0	
1914	clean	37	37	0		0	
1915	clean	29	29	0		0	
1916	clean	15	15	0		0	
1917	clean	46	46	0		0	
1918	clean	22	22	0		0	
1919	clean	21	21	0		0	
1920	clean	10	10	0		0	
1921	clean	28	28	0		0	
1922	clean	14	14	0		0	
1923	clean	11	11	0		0	
1924	clean	27	27	0		0	
1925	clean	10	10	0		0	
1926	clean	20	20	0		0	
1927	clean	13	13	0		0	
1928	clean	26	26	0		0	
1929	clean	28	28	0		0	
1930	clean	6	6	0		0	
1931	clean	13	13	0		0	
1932	clean	9	9	0		0	
1933	clean	15	15	0		0	
1934	clean	7	7	0		0	
1935	clean	17	17	0		0	
1936	clean	9	9	0		0	
1937	clean	11	11	0		0	
1938	clean	20	20	0		0	
1939	clean	9	9	0		0	
1940	clean	26	26	0		0	
1941	clean	9	9	0		0	
1942	clean	7	7	0		0	
1943	clean	8	8	0		0	
1944	clean	5	5	0		0	
1945	clean	15	15	0		0	
1946	clean	21	21	0		0	
1947	clean	13	13	0		0	
1948	clean	9	9	0		0	
1949	clean	8	8	0		0	
1950	clean	12	12	0		0	
1951	clean	7	7	0		0	
1952	clean	7	7	0		0	
1953	clean	7	7	0		0	
1954	clean	12	12	0		0	
1955	clean	8	8	0		0	
1956	clean	2	2	0		0	
1957	clean	4	4	0		0	
1958	clean	5	5	0		0	
1959	clean	5	5	0		0	
